ID,Symbol,CC-1,CC-2,CC-3,C4-1,C4-2,C4-3,IG-1,IG-2,IG-3,Z1-1,Z1-2,Z1-3,Z2-1,Z2-2,Z2-3
A0A075B6H9,,,,,,,,106700.8516,126443.5469,157176.3438,,,,,,
A0A075B6I0,LV861,182676.2913,205073.0534,164289.2715,108728.5607,90587.55738,89321.70934,136386.1481,95492.27312,116688.2393,94889.53065,101416.6659,106749.7455,97974.30233,127162.0264,103627.94
A0A075B6I1,LV460,21829.57402,20291.79696,20633.31293,21246.9743,19085.1572,19734.98508,265510.4204,190479.2387,253137.1259,18607.09882,19113.54928,22207.16638,18310.38097,18156.11463,15087.56673
A0A075B6I7,LV548,6207.394531,6286.693848,14743.92969,,2025.584473,8656.830078,382919.2812,402910.75,415872.2812,3597.56543,9808.657227,,,12668.50684,4606.521973
A0A075B6K2,LV312,89261.49219,154415.5625,120118.7812,118937.1094,103753.8359,119460.5469,811019.6875,561228.25,856308.9375,189599.4531,124463.4688,196603,155613.1875,133858.2969,126927.2422
A0A075B6K5,LV39,16784.9727,13537.86638,20755.8459,,15564.76484,17185.24217,126090.5064,78976.13848,99196.04299,10708.69195,14977.63395,14889.43918,16651.95753,14645.8369,10488.48134
A0A075B6Q5,,,,,,,,68819.72656,,72683.92188,,,,,,
A0A075B6S5,KV127,477735.875,389344.7812,509671.5,376668.0625,324240.25,514104.0625,,,,430512.1562,498454,470694,481335.625,402702.25,408297.375
A0A075B6Y3,TJA3,197287.5312,235711.8281,512160.75,432219.0938,781638.375,610000.875,627897.5625,691494.0625,674753.875,485441.0312,490091.2812,478244.4062,533083.375,222567.9062,407247.3125
A0A087WSY6,KVD15,2003606.25,1980722.625,1351621.75,766202.25,1519720.75,1750850,2593282.5,1079727.125,1919305.875,2023627.75,1527447.625,2104001.75,1997089,1756994.625,1596349.125
A0A087WSZ0,KVD08,1018458.5,1159689.625,1101264.25,705989,1017837.188,1098381.375,,,,999680.0625,970499.625,1044004.062,957635.3125,1033911.5,1051320.25
A0A0A0MS14,HV145,156022.6562,83013.3125,64978.34375,73287.42188,46198.76172,71985.625,102353.7031,60023.16406,82747.84375,88387.21094,84386.54688,78746.6875,74698.05469,70233.125,60977.07031
